Date,Open,High,Low,Close,Volume
2026-03-05,2839.5,2859.5,2791.5,2802.0,1939100
2026-03-06,2777.0,2900.0,2774.5,2900.0,1326200
2026-03-09,2800.0,2862.5,2798.0,2845.0,1430300
2026-03-10,2830.0,2858.0,2797.5,2833.0,1455700
2026-03-11,2841.5,2874.5,2768.5,2774.0,1562600
2026-03-12,2750.0,2795.0,2744.0,2795.0,1111000
2026-03-13,2745.0,2776.0,2722.5,2775.0,1386900
2026-03-16,2750.5,2759.5,2711.5,2752.5,1269000
2026-03-17,2779.5,2802.5,2766.5,2793.5,991300
2026-03-18,2818.5,2862.0,2808.5,2853.5,1873800
2026-03-19,2785.0,2847.5,2770.0,2770.0,2738500
2026-03-23,2689.0,2716.0,2674.0,2707.5,1289900
2026-03-24,2729.5,2763.5,2713.5,2748.0,937800
2026-03-25,2735.0,2771.5,2731.0,2737.5,983400
2026-03-26,2719.0,2723.0,2683.5,2703.0,1111900
2026-03-27,2734.0,2758.0,2715.0,2722.5,1488100
2026-03-30,2655.0,2691.0,2642.0,2672.5,1548800
2026-03-31,2698.5,2738.5,2683.0,2699.0,1500800
2026-04-01,2727.0,2778.0,2714.5,2771.0,1533200
2026-04-02,2800.0,2821.0,2705.0,2719.5,2045400
2026-04-03,2720.5,2780.5,2720.5,2757.0,1348600
2026-04-06,2807.0,2899.0,2797.0,2846.0,1604300
2026-04-07,2780.0,2837.5,2750.5,2827.0,1796100
2026-04-08,2914.5,2936.5,2883.5,2927.5,2042200
2026-04-09,2950.0,2996.5,2937.0,2952.0,1691500
2026-04-10,2962.5,2972.0,2865.5,2865.5,1658100
2026-04-13,2838.5,3176.0,2812.5,3155.0,11313100
2026-04-14,3154.0,3154.0,3059.0,3088.0,2206700
2026-04-15,3090.0,3109.0,3049.0,3083.0,1423900
2026-04-16,3130.0,3170.0,3085.0,3087.0,1250800
2026-04-17,3089.0,3164.0,3086.0,3127.0,1164700
2026-04-20,3173.0,3236.0,3167.0,3178.0,1360900
2026-04-21,3183.0,3184.0,3054.0,3054.0,1058000
2026-04-22,3003.0,3094.0,3001.0,3075.0,1203600
2026-04-23,3093.0,3103.0,3023.0,3044.0,820600
2026-04-24,2989.0,3022.0,2984.5,3004.0,1246200
2026-04-27,2989.0,3008.0,2950.5,2950.5,1011100
2026-04-28,2999.0,2999.0,2955.0,2978.5,804200
2026-04-30,2976.5,3009.0,2962.0,2986.0,1123500
2026-05-01,2944.0,2970.5,2921.0,2967.0,717300
2026-05-07,2951.0,2967.5,2893.5,2908.0,2065900
2026-05-08,2958.0,3050.0,2911.5,3045.0,1888000
2026-05-11,3054.0,3072.0,2965.5,2989.5,1724000
2026-05-12,3015.0,3123.0,3004.0,3086.0,2287400
2026-05-13,3120.0,3167.0,3093.0,3111.0,2410800
2026-05-14,3069.0,3084.0,2984.5,2988.5,1197900
2026-05-15,2992.0,3040.0,2950.0,3035.0,1744000
2026-05-18,3105.0,3122.0,3015.0,3061.0,1804800
2026-05-19,3107.0,3195.0,3092.0,3188.0,1782500
2026-05-20,3153.0,3183.0,3096.0,3137.0,1417600
2026-05-21,3145.0,3148.0,3065.0,3121.0,1150300
2026-05-22,3051.0,3077.0,3012.0,3049.0,1211800
2026-05-25,3090.0,3090.0,2981.5,3025.0,984400
2026-05-26,3031.0,3073.0,3025.0,3061.0,1036300
2026-05-27,3077.0,3129.0,3073.0,3091.0,1242700
2026-05-28,3112.0,3112.0,3050.0,3071.0,935000
2026-05-29,3040.0,3099.0,3006.0,3006.0,1196200
2026-06-01,3000.0,3052.0,2978.0,3027.0,1030800
2026-06-02,3097.0,3123.0,3048.0,3093.0,1467800
2026-06-03,3069.0,3102.0,3010.0,3102.0,1120100
2026-06-04,3080.0,3104.0,3021.0,3075.0,1217900
2026-06-05,3115.0,3137.0,3071.0,3097.0,1264500
2026-06-08,3060.0,3139.0,3050.0,3080.0,1320600
2026-06-09,3112.0,3163.0,3083.0,3109.0,1531200
2026-06-10,3130.0,3151.0,3071.0,3123.0,1403900
2026-06-11,3156.0,3178.0,3101.0,3173.0,1478000
2026-06-12,3200.0,3207.0,3042.0,3070.0,1478200
2026-06-15,3045.0,3147.0,3036.0,3101.0,1165200
2026-06-16,3152.0,3165.0,3095.0,3122.0,1166400
2026-06-17,3141.0,3157.0,3091.0,3107.0,937500
2026-06-18,3078.0,3152.0,3070.0,3152.0,1414400
2026-06-19,3116.0,3116.0,2943.5,2976.0,1824300
2026-06-22,2954.5,3028.0,2951.5,3015.0,978400
2026-06-23,2984.5,3020.0,2963.0,2993.0,1066900
2026-06-24,3026.0,3042.0,2976.0,2995.0,906100
2026-06-25,3019.0,3073.0,2985.0,3035.0,899800
2026-06-26,3035.0,3073.0,3021.0,3053.0,992700
2026-06-29,3080.0,3129.0,3053.0,3083.0,1108500
2026-06-30,3104.0,3114.0,3042.0,3097.0,1137600
2026-07-01,3067.0,3083.0,3025.0,3042.0,966100
2026-07-02,3112.0,3172.0,3073.0,3105.0,1331100
2026-07-03,3202.0,3299.0,3184.0,3243.0,1536600
2026-07-06,3279.0,3305.0,3258.0,3305.0,999600
2026-07-07,3322.0,3380.0,3295.0,3358.0,1339300
2026-07-08,3400.0,3428.0,3355.0,3396.0,1233200
2026-07-09,3343.0,3362.0,3298.0,3352.0,1115400
2026-07-10,3345.0,3367.0,3268.0,3324.0,869900
2026-07-13,3394.0,3395.0,3331.0,3356.0,616500
2026-07-14,3443.0,3599.0,3418.0,3443.0,1993600
